"","B","M"
"1",0.0501691899710817,0.949830810028918
"2",0.00706537768741478,0.992934622312585
"3",0.589518221187645,0.410481778812355
"4",0.0395573056118652,0.960442694388135
"5",0.00260321646760209,0.997396783532398
"6",9.27941187888193e-05,0.999907205881211
"7",0.999775766939555,0.000224233060444612
"8",5.54725579625659e-05,0.999944527442037
"9",0.00177869720530854,0.998221302794691
"10",0.996350467233038,0.00364953276696212
"11",0.00536779168164236,0.994632208318358
"12",0.98981868048932,0.0101813195106797
"13",0.999436706334527,0.000563293665473252
"14",0.010810075130639,0.989189924869361
"15",0.00682818579607536,0.993171814203925
"16",0.985349408317228,0.0146505916827721
"17",0.998208004576482,0.00179199542351827
"18",0.00165116048419245,0.998348839515808
"19",0.990965044615381,0.00903495538461885
"20",0.0155228365230746,0.984477163476925
"21",0.939567119195395,0.0604328808046054
"22",0.725276310384153,0.274723689615847
"23",0.00206693460792962,0.99793306539207
"24",0.996262283231103,0.00373771676889734
"25",0.0166855203956323,0.983314479604368
"26",0.956799673762529,0.0432003262374708
"27",0.999408642892424,0.000591357107575963
"28",0.0127544160104668,0.987245583989533
"29",0.980664275652795,0.0193357243472051
"30",0.817667357145804,0.182332642854196
"31",0.999553127922232,0.000446872077768168
"32",0.00134857257814636,0.998651427421854
"33",0.000101363551442968,0.999898636448557
"34",0.99676371285912,0.00323628714087987
"35",0.0174671849361909,0.982532815063809
"36",0.00487563681231351,0.995124363187686
"37",0.738635410844099,0.261364589155901
"38",0.000437991680234506,0.999562008319765
"39",0.97183501361324,0.0281649863867599
"40",0.995905895747063,0.00409410425293744
"41",0.992219393232061,0.00778060676793879
"42",0.790461520634852,0.209538479365148
"43",0.739204559196164,0.260795440803836
"44",0.478752845518123,0.521247154481877
"45",0.913078948096609,0.0869210519033905
"46",0.0355326493728247,0.964467350627175
"47",0.99988936958642,0.000110630413580171
"48",0.995866012402172,0.00413398759782801
"49",0.000246223083137043,0.999753776916863
"50",0.999325262869333,0.000674737130666903
"51",0.999027461444002,0.000972538555997993
"52",0.999957596051163,4.2403948836589e-05
"53",0.0648116980379028,0.935188301962097
"54",0.00387995074072833,0.996120049259272
"55",0.771933935151209,0.228066064848791
"56",0.0459599988199635,0.954040001180037
"57",0.825185982413249,0.174814017586751
"58",0.999842705550112,0.000157294449888101
"59",0.00994960227342268,0.990050397726577
"60",0.916376588448872,0.0836234115511283
"61",0.0527354742451225,0.947264525754878
"62",0.00281209767276658,0.997187902327233
