"","no","yes"
"1",0.00948051312066415,0.990519486879336
"2",0.20450873270223,0.79549126729777
"3",0.00055696981027623,0.999443030189724
"4",0.0837027102903881,0.916297289709612
"5",0.000682381904997146,0.999317618095003
"6",0.0837027102903881,0.916297289709612
"7",0.0837027102903881,0.916297289709612
"8",0.0060263072517857,0.993973692748214
"9",0.934849597378108,0.0651504026218922
"10",0.000535061932586648,0.999464938067413
"11",0.20450873270223,0.79549126729777
"12",0.20450873270223,0.79549126729777
"13",0.000682381904997146,0.999317618095003
"14",0.962497407007393,0.037502592992607
"15",0.20450873270223,0.79549126729777
"16",0.00610331456023243,0.993896685439768
"17",0.20450873270223,0.79549126729777
"18",0.675456034231255,0.324543965768745
"19",0.00583030432609935,0.994169695673901
"20",0.772094980689924,0.227905019310076
"21",0.0164415266999509,0.983558473300049
"22",0.0720991712412822,0.927900828758718
"23",0.000535061932586648,0.999464938067413
"24",0.549106050431643,0.450893949568357
"25",0.0102252362286619,0.989774763771338
