"","no","yes"
"1",0.217618485196388,0.782381514803612
"2",0.218437731485505,0.781562268514495
"3",0.218296567309715,0.781703432690285
"4",0.217906870623166,0.782093129376834
"5",0.269762986165784,0.730237013834216
"6",0.217906870623166,0.782093129376834
"7",0.217906870623166,0.782093129376834
"8",0.410632842022645,0.589367157977355
"9",0.708793161615182,0.291206838384818
"10",0.218298700445153,0.781701299554847
"11",0.218437731485505,0.781562268514495
"12",0.218437731485505,0.781562268514495
"13",0.217542059909564,0.782457940090436
"14",0.471143039681366,0.528856960318634
"15",0.218437731485505,0.781562268514495
"16",0.245955692955836,0.754044307044164
"17",0.218437731485505,0.781562268514495
"18",0.516894853570849,0.483105146429151
"19",0.217469593367606,0.782530406632394
"20",0.980721069613868,0.0192789303861319
"21",0.217386339130852,0.782613660869148
"22",0.344012730006209,0.655987269993791
"23",0.218298700445153,0.781701299554847
"24",0.6003966725392,0.3996033274608
"25",0.226163082820285,0.773836917179715
