"","no","yes"
"1",0.992978796661239,0.00702120333876089
"2",0.992978796661239,0.00702120333876089
"3",0.992978796661239,0.00702120333876089
"4",0.998585725177083,0.00141427482291701
"5",0.998585725177083,0.00141427482291701
"6",0.998585725177083,0.00141427482291701
"7",0.992978796661239,0.00702120333876089
"8",0.994633161886412,0.00536683811358754
"9",0.898737069412512,0.101262930587488
"10",0.973767836808519,0.026232163191481
"11",0.0302048031895519,0.969795196810448
"12",0.0302048031895519,0.969795196810448
"13",0.0302048031895519,0.969795196810448
"14",0.00702120333876089,0.992978796661239
"15",0.00352398399494201,0.996476016005058
"16",0.00702120333876089,0.992978796661239
"17",0.000707842177843055,0.999292157822157
"18",0.00352398399494201,0.996476016005058
"19",0.00352398399494201,0.996476016005058
"20",0.928471639849442,0.0715283601505577
"21",0.00702120333876089,0.992978796661239
"22",0.00352398399494201,0.996476016005058
"23",0.00702120333876089,0.992978796661239
"24",0.0302048031895519,0.969795196810448
"25",0.0302048031895519,0.969795196810448
"26",0.000707842177843055,0.999292157822157
"27",0.0302048031895519,0.969795196810448
"28",0.928471639849442,0.0715283601505577
"29",0.00702120333876089,0.992978796661239
"30",0.0302048031895519,0.969795196810448
