"","B","M"
"1",0.0504024973787279,0.949597502621272
"2",0.000888561980173175,0.999111438019827
"3",0.120168983438601,0.879831016561399
"4",0.0224328070022066,0.977567192997793
"5",0.00133252751369706,0.998667472486303
"6",4.15106460914805e-05,0.999958489353909
"7",0.999972040187589,2.79598124107716e-05
"8",8.15698400657983e-06,0.999991843015993
"9",0.00125134985315789,0.998748650146842
"10",0.994009320920455,0.00599067907954531
"11",0.0128079987357012,0.987192001264299
"12",0.995631180762885,0.00436881923711518
"13",0.999935912001665,6.40879983354603e-05
"14",0.0298612695427087,0.970138730457291
"15",0.00485549858954204,0.995144501410458
"16",0.998977860596656,0.00102213940334417
"17",0.999633266272849,0.000366733727151458
"18",0.000516709586875996,0.999483290413124
"19",0.998383586945073,0.00161641305492699
"20",0.00719548236027479,0.992804517639725
"21",0.962755206105647,0.0372447938943534
"22",0.867359627371435,0.132640372628565
"23",0.000164597843794301,0.999835402156206
"24",0.999233201588522,0.000766798411478198
"25",0.0167989717177572,0.983201028282243
"26",0.986196145010223,0.0138038549897773
"27",0.999535908646531,0.000464091353469254
"28",0.0620046640534645,0.937995335946536
"29",0.991718447772383,0.00828155222761695
"30",0.905852468889798,0.0941475311102018
"31",0.999562531047291,0.000437468952708575
"32",0.00491815557767672,0.995081844422323
"33",7.66671251184459e-05,0.999923332874882
"34",0.999555408901266,0.000444591098734182
"35",0.012707386329375,0.987292613670625
"36",0.000509470847210425,0.99949052915279
"37",0.672260908122255,0.327739091877745
"38",9.29765114474623e-05,0.999907023488553
"39",0.994910761205665,0.00508923879433543
"40",0.998847458221826,0.0011525417781737
"41",0.995208310446173,0.00479168955382703
"42",0.931934691944456,0.0680653080555437
"43",0.549103410957295,0.450896589042705
"44",0.231302557334973,0.768697442665027
"45",0.883550635307925,0.116449364692075
"46",0.0174109336491348,0.982589066350865
"47",0.99997720143677,2.27985632302863e-05
"48",0.995810663774333,0.00418933622566664
"49",6.63026700686853e-06,0.999993369732993
"50",0.999840496254976,0.000159503745024492
"51",0.999101170632665,0.000898829367335097
"52",0.99997487878465,2.51212153496994e-05
"53",0.0240944046246339,0.975905595375366
"54",0.00554402298960599,0.994455977010394
"55",0.860604622734405,0.139395377265595
"56",0.00932561955690403,0.990674380443096
"57",0.882168164267039,0.117831835732961
