"","no","yes"
"1",0.983134826159716,0.0168651738402842
"2",0.98055668008209,0.0194433199179096
"3",0.954840570139711,0.0451594298602892
"4",0.992569895746727,0.00743010425327317
"5",0.993546950263513,0.00645304973648686
"6",0.992548421197169,0.00745157880283132
"7",0.884647341270139,0.115352658729861
"8",0.973165090732596,0.026834909267404
"9",0.890950553368588,0.109049446631412
"10",0.832375770064818,0.167624229935182
"11",0.0268267470672281,0.973173252932772
"12",0.0114252964169326,0.988574703583067
"13",0.0036134828827491,0.996386517117251
"14",0.000230753391612604,0.999769246608387
"15",1.4157835725892e-05,0.999985842164274
"16",0.000172716308611265,0.999827283691389
"17",1.2552747189476e-06,0.999998744725281
"18",9.16725057820145e-06,0.999990832749422
"19",9.16725057820145e-06,0.999990832749422
"20",0.95465423922276,0.0453457607772398
"21",9.67578987806084e-05,0.999903242101219
"22",5.93581794217091e-06,0.999994064182058
"23",8.37089931364776e-05,0.999916291006864
"24",0.000850998195782604,0.999149001804217
"25",0.000736306290888611,0.999263693709111
"26",5.26282866286643e-07,0.999999473717134
"27",0.000551187047309387,0.999448812952691
"28",0.910734757687518,0.0892652423124822
"29",4.68930193010531e-05,0.999953106980699
"30",0.00041259054192766,0.999587409458072
