"","NO","YES"
"1",0.999999666241556,3.33758443993304e-07
"2",0.0919045899901161,0.908095410009884
"3",0.999984421284628,1.55787153717224e-05
"4",0.000296500875484274,0.999703499124516
"5",0.00592686444672819,0.994073135553272
"6",0.0190254635877775,0.980974536412223
"7",2.03236428802933e-05,0.99997967635712
"8",2.20659951980506e-05,0.999977934004802
"9",0.00482795015007409,0.995172049849926
"10",0.00445162342215066,0.995548376577849
"11",0.0241327089696076,0.975867291030392
"12",1.94785527469765e-05,0.999980521447253
"13",0.905740402760529,0.0942595972394711
"14",0.999651433949162,0.000348566050837995
"15",0.999957045168133,4.29548318666706e-05
"16",0.00360641397635797,0.996393586023642
"17",0.0927741061160674,0.907225893883933
"18",0.00849324117826855,0.991506758821731
"19",0.856078158220141,0.143921841779859
"20",0.63413888139424,0.36586111860576
"21",0.00432963529822372,0.995670364701776
"22",0.998221569006172,0.00177843099382824
"23",0.0108927527014838,0.989107247298516
"24",0.578587189900021,0.421412810099979
"25",0.000354691530018103,0.999645308469982
"26",0.989937986666884,0.010062013333116
