"","NO","YES"
"1",0.91856128021417,0.0814387197858299
"2",0.929647791048847,0.0703522089511535
"3",3.04395533223811e-08,0.999999969560447
"4",0.999998852297409,1.14770259085351e-06
"5",0.999999999884859,1.15141118861573e-10
"6",0.999999974624094,2.53759060431236e-08
"7",0.999999989048734,1.09512655610544e-08
"8",0.999999999998796,1.20436993711337e-12
"9",0.999999999999491,5.09370323698022e-13
"10",0.999999999998361,1.63891122895166e-12
"11",0.0383968513439087,0.961603148656091
"12",0.999999999997829,2.17115214695696e-12
"13",0.99999869348489,1.30651510976687e-06
"14",0.999999973330996,2.66690036720973e-08
"15",0.999999976787866,2.32121344367897e-08
"16",2.29149336172796e-08,0.999999977085066
"17",0.99963866315749,0.000361336842510052
"18",5.17112557385513e-06,0.999994828874426
"19",0.999999999964392,3.56081830688026e-11
"20",0.937976709598202,0.0620232904017981
"21",0.967240886212179,0.0327591137878211
"22",0.99999833844227,1.6615577296264e-06
"23",0.999999999795762,2.04237626810766e-10
"24",0.999815824684448,0.000184175315551927
"25",0.999999999906537,9.34629040827417e-11
"26",0.000632917758633389,0.999367082241367
"27",0.000643265291600303,0.9993567347084
"28",0.999994918333141,5.08166685941891e-06
"29",0.999999988666737,1.13332634388286e-08
"30",0.11857054518503,0.88142945481497
"31",0.999999999999992,8.43769498715119e-15
"32",0.9351113542486,0.0648886457514001
"33",0.999153403458985,0.000846596541014821
"34",0.999999990912499,9.08750141803694e-09
"35",0.963752208529364,0.0362477914706359
"36",0.999999991785924,8.21407641904415e-09
"37",0.000366049491188902,0.999633950508811
"38",0.999999999941209,5.87907500460005e-11
"39",0.999997920675364,2.07932463647253e-06
"40",0.999997552170314,2.44782968605861e-06
"41",0.999995788069846,4.21193015365251e-06
"42",0.999999999999997,3.33066907387547e-15
"43",0.887792282942972,0.112207717057028
"44",0.999998397392609,1.60260739090479e-06
"45",0.999998558553734,1.44144626590403e-06
"46",0.999784099775127,0.000215900224872723
"47",0.999992599544436,7.40045556435476e-06
"48",0.999779008265893,0.000220991734106613
"49",0.999999987937641,1.20623585564417e-08
"50",2.76815329547375e-08,0.999999972318467
"51",2.0433394153363e-06,0.999997956660585
"52",0.0616895487059372,0.938310451294063
"53",0.999996575053825,3.42494617489031e-06
"54",0.0681340989684885,0.931865901031511
"55",0.912642961435725,0.0873570385642748
"56",0.999452245984649,0.000547754015351232
"57",0.000499237668629804,0.99950076233137
"58",1.3452461782637e-05,0.999986547538217
"59",0.999999989217,1.07830003814868e-08
"60",0.999999999939506,6.04942762549854e-11
"61",0.999999999915783,8.42167446890585e-11
"62",0.9722718596314,0.0277281403685997
"63",0.999999999904578,9.54221146542977e-11
"64",0.999999972440783,2.75592173526462e-08
"65",0.999999978814187,2.11858127707742e-08
"66",0.999999999954542,4.54584148101844e-11
"67",0.9999934273265,6.57267350023805e-06
"68",0.99999999999797,2.03015382282956e-12
"69",0.999999999999984,1.57651669496772e-14
"70",0.000464905418040229,0.99953509458196
"71",0.999995921267995,4.07873200547471e-06
"72",0.000311101092506427,0.999688898907494
"73",0.999406498195963,0.000593501804037166
"74",4.30937012585453e-06,0.999995690629874
"75",0.999999999741113,2.58886911908007e-10
"76",0.99999638437988,3.61562011985672e-06
"77",0.0702845419021534,0.929715458097847
"78",0.000569394522669353,0.999430605477331
"79",0.999999999650888,3.49111628494825e-10
"80",0.999999999999997,2.88657986402541e-15
